NIL line	Matched Founder	Syngenta called Founder
10NN0841	Tx303	Tx303 
10NN0843	Mo17	Tx303 
10NN0845	Tx303	Tx303 
10NN0847	Tx303	Tx303 
10NN0849	Tx303	Tx303 
10NN0851	Tx303	Tx303 
10NN0853	Mo17	Tzi8 
10NN0855	Tzi8	Tzi8 
10NN0857	Tzi8	Tzi8 
10NN0859	CML228	Tzi8 
10NN0861	NC350	Tzi8 
10NN0863	Tzi8	Tzi8 
10NN0865	Tzi8	Tzi8 
10NN0867	Tzi8	Tzi8 
10NN0869	Tzi8	Tzi8 
10NN0871	Tzi8	Tzi8 
10NN0873	HP301	Tzi8 
10NN0875	Tzi8	Tzi8 
10NN0877	HP301	Tzi8 
10NN0879	Tzi8	Tzi8 
10NN0881	Tzi8	Tzi8 
10NN0883	Tzi8	Tzi8 
10NN0885	Tzi8	Tzi8 
10NN0887	Tzi8	Tzi8 
10NN0889	Tzi8	Tzi8 
10NN0891	Tzi8	Tzi8 
10NN0893	Ky21	Tzi8 
10NN0895	Tzi8	Tzi8 
10NN0897	Tzi8	Tzi8 
10NN0899	CML277	Tzi8 
10NN0901	Tzi8	Tzi8 
10NN0903	Tzi8	Tzi8 
10NN0905	CML277	Tzi8 
