,10NN0001,10NN0003,10NN0005,10NN0007,10NN0009,10NN0011,10NN0013,10NN0015,10NN0017,10NN0019,10NN0021,10NN0023,10NN0025,10NN0027,10NN0031,10NN0033,10NN0035,10NN0037,10NN0039,10NN0041,10NN0043,10NN0045,10NN0047,10NN0049,10NN0051,10NN0053,10NN0397,10NN0399
Ki11,0.62256654,0.621641377,0.621752659,0.622112687,0.622313429,0.621294442,0.622252334,0.620111805,0.621866122,0.621946856,0.622173782,0.621630468,0.618822251,0.62214978,0.621818118,0.623476428,0.620415101,0.619343746,0.621316261,0.621691563,0.622014497,0.621547552,0.616192957,0.62127044,0.622021043,0.622060319,0.621920672,0.622158508
Ki3,0.623114218,0.622686549,0.62290693,0.621741749,0.623247319,0.620982418,0.622887292,0.62128135,0.622453076,0.623188406,0.623496066,0.623917189,0.620131443,0.623061851,0.622837106,0.622752009,0.621410087,0.620469651,0.620991145,0.622708369,0.622880746,0.623310597,0.616747182,0.621425361,0.622370161,0.623066215,0.62258836,0.62279783
Ky21,0.644281668,0.644076562,0.643797267,0.641364352,0.642710638,0.641870573,0.644456227,0.641973127,0.644299124,0.643718716,0.642300425,0.64210841,0.640838494,0.64429476,0.644216209,0.642317881,0.642496803,0.641759292,0.643465605,0.644205299,0.644491139,0.643007388,0.636830185,0.642950657,0.643555067,0.644528233,0.64406347,0.644061288
M162W,0.630694439,0.630290772,0.630755535,0.629407067,0.630796992,0.629241236,0.630220948,0.628233158,0.630511152,0.630214402,0.629411431,0.629961292,0.627194533,0.63081663,0.630578794,0.629974383,0.629446343,0.627428005,0.629551078,0.630511152,0.631263937,0.630380233,0.623779724,0.630048571,0.630380233,0.630657345,0.630762081,0.630458784
M37W,0.633603027,0.63346338,0.633428468,0.632560037,0.634098338,0.631715609,0.633284457,0.630576612,0.633070622,0.632968069,0.634008876,0.633050984,0.629821644,0.633773222,0.633404466,0.634124522,0.632276379,0.630993371,0.632477122,0.633029164,0.633347734,0.633138264,0.626243187,0.633304095,0.634008876,0.633731764,0.632976797,0.633131718
MS71,0.651414582,0.654000236,0.653755853,0.650306133,0.652909242,0.651495315,0.653747125,0.651366578,0.653936958,0.651240023,0.653103439,0.652056086,0.650838537,0.653823495,0.653644572,0.651096012,0.652136819,0.65076435,0.651990626,0.653797311,0.654096243,0.652904878,0.647670293,0.652464117,0.652968156,0.654190068,0.652743411,0.654181341
Mo17,0.566574587,0.567089536,0.56602909,0.56421586,0.567689582,0.565156296,0.568322358,0.564966463,0.568407455,0.566478579,0.56411767,0.566670594,0.564475516,0.567792135,0.568374726,0.564785358,0.565723612,0.563626723,0.565922173,0.568167437,0.567831411,0.566306203,0.570484706,0.564543158,0.565854531,0.568483825,0.56677533,0.568158709
Mo18W,0.618835343,0.618187293,0.618433857,0.616611899,0.619832511,0.617299225,0.618815705,0.617194489,0.618006188,0.617966912,0.617696346,0.619548852,0.615651825,0.618407674,0.618169837,0.618833161,0.616657721,0.616594443,0.616941379,0.618324758,0.618610598,0.618547321,0.611165661,0.61776617,0.618366216,0.618366216,0.617853449,0.61829421
NC350,0.613434927,0.61295489,0.613053079,0.613984787,0.613424017,0.612673413,0.61292216,0.610862365,0.61281306,0.612793423,0.613565846,0.614632837,0.610622346,0.613838594,0.613258186,0.614220442,0.6116697,0.61099983,0.612097369,0.612935252,0.613277824,0.613408743,0.607246813,0.612069003,0.612902522,0.613199272,0.613005075,0.612806515
NC358,0.618287664,0.61710721,0.616873737,0.618080376,0.617515241,0.615501268,0.617142122,0.615817656,0.616662084,0.616803914,0.61737123,0.618571323,0.61449319,0.617681072,0.617050478,0.617768352,0.615647461,0.614309903,0.615612549,0.616812642,0.618422948,0.617233765,0.610696534,0.616932651,0.617811991,0.617011202,0.616906467,0.616993746
Oh43,0.656387329,0.656725537,0.656830272,0.653055436,0.655922566,0.653840951,0.65523524,0.653594386,0.656219316,0.656710263,0.655326883,0.652261192,0.652014628,0.656297867,0.656694989,0.654288258,0.655209056,0.654028601,0.656068759,0.656489882,0.656592435,0.655713095,0.648999123,0.652062632,0.652372474,0.656830272,0.655429437,0.656812816
Oh7B,0.656112398,0.657943085,0.658052184,0.655001767,0.659592667,0.656238954,0.658281293,0.656188768,0.658599863,0.657489232,0.657919083,0.655970569,0.654868666,0.658970801,0.658536585,0.657227394,0.657098656,0.655311609,0.658076186,0.658545313,0.658752602,0.658501674,0.652152093,0.655422891,0.656341507,0.658434032,0.658194014,0.65868496
P39,0.618470951,0.618835343,0.618767701,0.615623459,0.618545139,0.61641552,0.618422948,0.615795836,0.619149549,0.618462223,0.616790822,0.617126848,0.615333255,0.618619326,0.618802613,0.616731908,0.617622159,0.615926755,0.617811991,0.619046996,0.619188825,0.61829421,0.61253813,0.616893375,0.617122484,0.618874619,0.618300756,0.61861278
Tx303,0.628239704,0.627436733,0.62737782,0.627742211,0.627532741,0.625830791,0.627111617,0.625756604,0.627456371,0.627497829,0.626603215,0.627264356,0.624641609,0.627921134,0.627838219,0.626712314,0.626282463,0.625760968,0.626779955,0.627528377,0.627694208,0.627406185,0.620936596,0.626969788,0.627698572,0.6277073,0.626385016,0.627500011
Tzi8,0.593378108,0.59305081,0.596725275,0.591141572,0.593175183,0.595018961,0.593146817,0.599241105,0.592668962,0.595424811,0.59486404,0.604785533,0.595357169,0.593295192,0.593175183,0.60398038,0.592226019,0.60007026,0.592060188,0.592738786,0.595136789,0.592887161,0.587696215,0.59273224,0.593094449,0.593225369,0.593262462,0.592487857
