,10NN0001,10NN0003,10NN0005,10NN0007,10NN0009,10NN0011,10NN0013,10NN0015,10NN0017,10NN0019,10NN0021,10NN0023,10NN0025,10NN0027,10NN0031,10NN0033,10NN0035,10NN0037,10NN0039,10NN0041,10NN0043,10NN0045,10NN0047,10NN0049,10NN0051,10NN0053,10NN0397,10NN0399
HP301,0.6322327393966372,0.6324203902264466,0.6328436955867143,0.6295598060650494,0.6303147733570733,0.6305962496017875,0.6322829250836792,0.6288506604872812,0.6323920244033359,0.6320472705532209,0.6310042810573033,0.631311941138735,0.6291997783101825,0.6323069269340036,0.6322283754238509,0.6284229911542272,0.6309802792069789,0.6297540028540382,0.6318465278050526,0.6325971311242903,0.6327040484575538,0.6318116160227625,0.6248598073742412,0.6314603162134681,0.632215283505492,0.6320909102810834,0.6318770756145564,0.6323658405666183
Il14H,0.6169959284133905,0.6173603201410436,0.6170919358146882,0.6142771733675468,0.6176068846034676,0.6157936539107742,0.6174737834334865,0.6141026144560963,0.6173690480866161,0.6171355755425509,0.6171050277330471,0.6149754090133494,0.6137251308100843,0.6169850184814247,0.6174214157600513,0.6160402183731982,0.616003124604515,0.6153703485505064,0.6169457427263484,0.6176199765218264,0.6178992707801474,0.6167319080598214,0.6104630611523506,0.6157696520604498,0.6157914719243811,0.6174956032974178,0.6170482960868257,0.6170199302637148
Ki11,0.6225665396750586,0.6216413774443702,0.6217526587504201,0.622112686505287,0.6223134292534552,0.6212944416078622,0.6222523336344474,0.6201118049827842,0.621866122042863,0.6219468555394089,0.6221737821242946,0.6216304675124046,0.6188222510244427,0.6221497802739702,0.621818118342214,0.623476428000995,0.6204151010914296,0.6193437457724014,0.6213162614717934,0.6216915631314123,0.6220144971175959,0.6215475520294655,0.6161929574207176,0.6212704397575377,0.6220210430767754,0.6220603188318518,0.6219206717026913,0.6221585082195428
Ki3,0.6231142182597349,0.6226865489266808,0.6229069295523874,0.6217417488184543,0.623247319429716,0.6209824175536441,0.6228872916748491,0.6212813496895033,0.6224530763826157,0.6231884057971014,0.6234960658785332,0.6239171892524078,0.6201314428603223,0.6230618505862997,0.6228371059878071,0.6227520085184749,0.6214100868866982,0.6204696507512579,0.6209911454992166,0.6227083687906122,0.6228807457156698,0.6233105970351169,0.6167471819645732,0.62142536079145,0.6223701608996767,0.6230662145590861,0.6225883595389899,0.6227978302327307
Ky21,0.6442816682595167,0.6440765615385623,0.6437972672802412,0.6413643524518982,0.6427106380564611,0.6418705732951049,0.6444562271709674,0.6419731266555821,0.6442991241506618,0.6437187157700884,0.6423004246145521,0.6421084098119564,0.6408384937311531,0.6442947601778756,0.6442162086677228,0.6423178805056972,0.6424968033899341,0.6417592919890551,0.6434656053484851,0.644205298735757,0.6444911389532575,0.6430073882059272,0.6368301847269681,0.6429506565597057,0.6435550667906035,0.6445282327219407,0.6440634696202034,0.6440612876338103
M162W,0.6306944389894784,0.6302907715067488,0.6307555346084862,0.6294070670175301,0.6307969923499557,0.6292412360516519,0.6302209479421687,0.6282331583380246,0.6305111521324553,0.6302144019829893,0.6294114309903164,0.6299612915613858,0.6271945328148933,0.6308166302274939,0.6305787937106424,0.6299743834797447,0.6294463427726065,0.6274280053589586,0.6295510781194769,0.6305111521324553,0.6312639374380862,0.6303802329488674,0.6237797241096404,0.6300485710171111,0.6303802329488674,0.6306573452207952,0.6307620805676656,0.6304587844590201
M37W,0.6336030268515246,0.6334633797223641,0.6334284679400739,0.6325600373556071,0.6340983377627657,0.6317156086214646,0.6332844568381272,0.6305766117242493,0.6330706221716002,0.6329680688111229,0.6340088763206473,0.6330509842940619,0.6298216444322253,0.6337732217901889,0.6334044660897494,0.6341245215994833,0.6322763791244997,0.6309933711253377,0.632477121872668,0.6330291644301306,0.633347734443528,0.6331382637497872,0.6262431867474875,0.6333040947156654,0.6340088763206473,0.6337317640487193,0.6329767967566954,0.6331317177906078
MS71,0.6514145817786681,0.6540002356545305,0.6537558531784996,0.6503061326909565,0.652909242457964,0.651495315275214,0.653747125232927,0.6513665780780191,0.6539369580491297,0.6512400228672174,0.6531034392469529,0.6520560857782491,0.6508385373708809,0.6538234947566867,0.6536445718724498,0.6510960117652707,0.652136819274795,0.6507643498335144,0.6519906261864551,0.6537973109199691,0.6540962430558283,0.6529048784851778,0.647670293128052,0.652464117233765,0.6529681560905786,0.654190068470733,0.6527434114920859,0.6541813405251605
Mo17,0.5665745868408765,0.5670895356296558,0.5660290902425933,0.5642158595498998,0.5676895818877673,0.5651562956853401,0.5683223579417759,0.5649664628691375,0.568407455411108,0.5664785794395786,0.5641176701622088,0.5666705942421743,0.5644755159306827,0.5677921352482446,0.5683747256152111,0.5647853579985075,0.5657236121475546,0.563626723223754,0.5659221729093298,0.5681674369078634,0.567831411003321,0.5663062025145211,0.5704847064573705,0.5645431575088697,0.5658545313311426,0.5684838249348677,0.5667753295890446,0.5681587089622909
Mo18W,0.6188353429428014,0.618187292984041,0.618433857446465,0.616611898808199,0.6198325107244631,0.6172992245220359,0.6188157050652632,0.6171944891751655,0.6180061881134109,0.6179669123583346,0.6176963460455861,0.6195488524933559,0.6156518247952206,0.6184076736097474,0.6181698370928959,0.6188331609564083,0.6166577205224548,0.616594442917054,0.6169413787535621,0.6183247581268083,0.6186105983443088,0.6185473207389078,0.6111656607709395,0.6177661696101663,0.6183662158682779,0.6183662158682779,0.6178534490658917,0.6182942103173045
