,10NN0001,10NN0003,10NN0005,10NN0007,10NN0009,10NN0011,10NN0013,10NN0015,10NN0017,10NN0019,10NN0021,10NN0023,10NN0025,10NN0027,10NN0031,10NN0033,10NN0035,10NN0037,10NN0039,10NN0041,10NN0043,10NN0045,10NN0047,10NN0049,10NN0051,10NN0053,10NN0397,10NN0399
HP301,0.00823045267489712,0.0049051054117626525,0.005799719832947122,0.015494285377636386,0.007708957926938368,0.0067379739819942485,0.0063037586897608106,0.006847073301650891,0.004946563153232176,0.007316200376174455,0.010774648809290025,0.011058307040397296,0.005814993737699052,0.005038206581743756,0.004647631017372976,0.009794936918773374,0.004974928976342903,0.007492941274018216,0.005889181275065569,0.003591549603096675,0.004387974636590166,0.006153201628634644,0.006166293546993441,0.009703293490261795,0.010240062142972477,0.003990853113039987,0.007283470580277462,0.004257055453002195
Il14H,0.00778750943709115,0.004549441629681997,0.004988020894701701,0.014691314384963496,0.008365735831271356,0.006439041846135048,0.006033192377012337,0.006543777193005425,0.004584353411972123,0.006855801247223422,0.010800832646007619,0.009755661163696984,0.005260769193843307,0.004564715534433927,0.00436833675905197,0.010490990578182754,0.00464326704458671,0.007362022090430244,0.005496423724301655,0.0032751615760924116,0.00417632195645628,0.005692802499683612,0.006044102308978001,0.00888941256562324,0.009098883259363994,0.003929757494032267,0.006919078852624275,0.0037901103648717645
Ki11,0.008573024538618978,0.00479600609210601,0.005400416323003809,0.016814387145481762,0.008869774688085046,0.007259468729953,0.006489227533177103,0.00748857730123195,0.004806916024071674,0.007451483532548691,0.011525252128527726,0.011348511230683965,0.005935002989321358,0.005142941928614133,0.00459744533033092,0.012456960318395454,0.004883285547831324,0.007458029491728089,0.005948094907680156,0.0033362571951001314,0.004331242990368712,0.006260118961898153,0.006657240485448333,0.009838576646636031,0.010453896809499496,0.004230871616284601,0.007562764838598466,0.004414158473307761
Ki3,0.008503200974038725,0.004902923425369519,0.005662254690179752,0.01641508363553845,0.008985419966921086,0.006779431723463772,0.006454315750886977,0.007647862307930648,0.0047567303370296184,0.007615132512033655,0.011848186114711388,0.01220821386957831,0.0061750214925659725,0.005166943778938594,0.004835281847182401,0.01173472282226848,0.005012022745026162,0.007532217029094607,0.005476785846763459,0.0035217260385164238,0.004324697031189314,0.006668150417413997,0.00642594992777625,0.009694565544689263,0.010298975775587063,0.004429432378059691,0.00742748168222423,0.0043465168951206425
Ky21,0.008455197273389803,0.004983656921915435,0.005411326254969474,0.015404823935517939,0.007959886362148645,0.006753247886746179,0.006539413220219159,0.007359840104037111,0.005027296649778092,0.0071961911245521475,0.010552086197190474,0.010678641407992179,0.005939366962107624,0.005129850010255336,0.004743638418670821,0.01080956059158015,0.004990202881094833,0.007514761137949544,0.005832449628844115,0.003493360215405697,0.004486164024281145,0.005900091207031233,0.006314668621726475,0.009727295340586256,0.0101353267961021,0.004339970935941243,0.007482031342052551,0.00425269148021593
M162W,0.008191176919820728,0.0046323571126210454,0.005478967833156593,0.015943774574621754,0.008568660565832711,0.006840527342471492,0.005886999288672436,0.007080545845716106,0.004649813003766108,0.007001994335563324,0.010600089897839397,0.011058307040397296,0.00530877289449223,0.004878921575045058,0.004486164024281145,0.01109103683629429,0.0049574730851978405,0.00715255139668949,0.005468057901190928,0.0032642516441267473,0.004381428677410768,0.006085560050447526,0.005935002989321358,0.009901854252036884,0.010194240428716686,0.004060676677620239,0.007333656267319517,0.004075950582372168
M37W,0.008415921518313411,0.004889831507010722,0.005531335506591781,0.016417265621931583,0.008948326198237828,0.006768521791498108,0.006233935125180559,0.006986720430811394,0.004706544649987563,0.007176553247013951,0.011662717271295097,0.011309235475607575,0.005544427424950578,0.0051909456292630555,0.0045472596432888646,0.011955103447974898,0.005092756241572078,0.007434027641403628,0.005701530445256143,0.0032337038346228874,0.00416104805170435,0.006137927723882714,0.006153201628634644,0.010133144809708967,0.010717917163068571,0.004289785248899188,0.007187463178979616,0.004036674827295777
MS71,0.007141641464723826,0.0049334712348733795,0.005505151669874186,0.01505352412622355,0.008101715477702281,0.006657240485448333,0.006268846907470685,0.00719837311094528,0.004902923425369519,0.0062317531387874265,0.010888112101732933,0.010475716673430824,0.005961186826038953,0.004844009792754933,0.004529803752143802,0.01026624597969007,0.004787278146533478,0.007252922770773601,0.00550733365626732,0.0033646230182108583,0.004342152922334377,0.0059022731934243655,0.006552505138577956,0.009637833898467809,0.009925856102361345,0.0042461455210365305,0.006912532893444876,0.004311605112830516
Mo17,0.008073349654591553,0.004931289248480246,0.005073118364033882,0.014966244670498235,0.008946144211844694,0.006840527342471492,0.006321214580905873,0.0074209357230448315,0.005555337356916243,0.007106729682433701,0.010065503231521849,0.01143579068640928,0.006177203478959105,0.0053916883774312785,0.00515603384697293,0.010576088047514936,0.005060026445675085,0.00706090796817791,0.005762626064263863,0.004043220786475176,0.0046279931398347796,0.00615756560142091,0.010449532836713231,0.00912506709608159,0.009965131857437737,0.004940017194052778,0.007390387913540971,0.004865829656686261
Mo18W,0.008448651314210404,0.004695634718021899,0.005564065302488774,0.015974322384125612,0.009218892510986301,0.007087091804895505,0.006574325002509284,0.007739505736442227,0.004634539099014179,0.007078363859322973,0.010835744428297746,0.012044564890093345,0.00577571798262266,0.004913833357335183,0.00459744533033092,0.011706356999157752,0.004778550200960947,0.007724231831690297,0.0054920597515153895,0.0034060807596803825,0.004333424976761845,0.006443405818921313,0.006205569302069832,0.009864760483353626,0.010309885707552728,0.0041174083238416925,0.007189645165372749,0.004215597711532671
NC350,0.008487927069286796,0.004940017194052778,0.005533517492984914,0.017316244015902316,0.008839226878581186,0.007486395314838816,0.006284120812222615,0.007379477981575307,0.004830917874396135,0.00729001653945686,0.011660535284901963,0.01238495476742207,0.006273210880256951,0.005470239887584061,0.0048090980104648065,0.012227851747116505,0.00507966432321328,0.007741687722835361,0.005810629764912786,0.003397352814107851,0.004401066554948963,0.0065852349344749485,0.006569961029723018,0.00969238355829613,0.01026624597969007,0.004296331208078586,0.0075300350427014735,0.004226507643498335
NC358,0.00894178023905843,0.004953109112411575,0.005420054200542005,0.017314062029509185,0.008887230579230108,0.007041270090639715,0.00642594992777625,0.007809329301022479,0.004754548350636485,0.00732056434896072,0.011503432264596398,0.01223876167908217,0.006196841356497301,0.005326228785637293,0.004702180677201297,0.012018381053375752,0.004970565003556638,0.007403479831899768,0.0055400634521643125,0.0034453565147567738,0.005042570554530022,0.0065023194515359,0.006329942526478405,0.01020515036068235,0.010833562441904612,0.004202505793173873,0.007543126961060271,0.004331242990368712
Oh43,0.007859514988064534,0.004675996840483703,0.005273861112202105,0.014745864044791817,0.008010072049190702,0.00602010045865354,0.005481149819549725,0.006718336104456052,0.004363972786265705,0.007052180022605379,0.010447350850320097,0.009207982579020637,0.00527822508498837,0.0045276217657506685,0.004479618065101746,0.010146236728067764,0.004649813003766108,0.007191827151765882,0.005570611261668172,0.003135514446931909,0.003990853113039987,0.005681892567717947,0.005891363261458701,0.007822421219381277,0.008178085001461931,0.00394721338517733,0.006600508839226879,0.0039886711266468545
Oh7B,0.007582402716136662,0.004998930826667365,0.005642616812641556,0.015531379146319644,0.009432727177513322,0.006899440975086079,0.006539413220219159,0.007704593954152102,0.00521712946598065,0.007211465029304078,0.01138996897215349,0.010593543938659999,0.006120471832737651,0.005494241737908522,0.004983656921915435,0.011274323693317448,0.0052629511802364404,0.0075780387433503965,0.006367036295161664,0.0037246507730777792,0.004693452731628765,0.006735791995601115,0.006783795696250038,0.009061789490680736,0.00966838170797167,0.004440342310025355,0.007737323750049095,0.00458217142557899
P39,0.007870424920030199,0.004621447180655381,0.005136395969434735,0.014761137949543746,0.008289366307511706,0.006281938825829482,0.005889181275065569,0.006759793845925577,0.004813461983251072,0.0068950770022998134,0.010104778986598239,0.010257518034117539,0.00550733365626732,0.004737092459491422,0.004501437929033075,0.010198604401502952,0.004730546500312024,0.006997630362777058,0.005284771044167768,0.0033493491134589286,0.004219961684318937,0.005856451479168576,0.0062557549891118875,0.008782495232359732,0.009107611204936526,0.0039690332491086585,0.006980174471631995,0.003945031398784197
Tx303,0.008509746933218125,0.004737092459491422,0.005328410772030425,0.016855844886951285,0.008634120157626697,0.006768521791498108,0.006039738336191735,0.007431845655010496,0.00481127999685794,0.00735111215846458,0.010811742577973283,0.011250321842992987,0.005937184975714492,0.005053480486495687,0.004730546500312024,0.011152132455302008,0.004926925275693981,0.007724231831690297,0.005788809900981458,0.0033777149365696556,0.004187231888421944,0.006225207179608028,0.006347398417623468,0.009736023286158788,0.010270609952476336,0.004180685929242545,0.0067903416554294365,0.004235235589070866
Tzi8,0.007298744485029391,0.00436833675905197,0.007058725981784778,0.014302920806985848,0.0072769246210980625,0.007615132512033655,0.005732078254760004,0.0110452151220385,0.0041697759972768806,0.007621678471213054,0.0107397370269999,0.016220886846549626,0.007911882661499723,0.0047523663642433525,0.004353062854300041,0.015893588887579697,0.004839645819968667,0.011819820291600662,0.004990202881094833,0.0029609555354812808,0.004920379316514582,0.0057975378465539885,0.006325578553692139,0.008885048592836975,0.009260350252455826,0.003709376868325849,0.0069954483763839245,0.0033929888413215853
